,Respondent,Timestamp,Anger,Contempt,Disgust,Fear,Joy,Sadness,Surprise,Engagement,Valence,Sentimentality,Confusion,Neutral,Attention,Brow Furrow,Brow Raise,Cheek Raise,Chin Raise,Dimpler,Eye Closure,Eye Widen,Inner Brow Raise,Jaw Drop,Lip Corner Depressor,Lip Press,Lip Pucker,Lip Stretch,Lip Suck,Lid Tighten,Mouth Open,Nose Wrinkle,Smile,Smirk,Upper Lip Raise,Blink,BlinkRate,Pitch,Yaw,Roll,Gaze Velocity,Gaze Acceleration,Fixation Duration,Fixation Dispersion,Saccade Duration,Saccade Amplitude,Saccade Peak Velocity,Saccade Peak Acceleration,Saccade Peak Deceleration,Saccade Direction
319,6,01/01/1970 0:14,0.640650576,1.472762684,1.469228798,0.493646533,0.278045312,0.135941747,0.251728135,21.68189116,1.927150228,1.741799913,1.354452056,95.17688093,90.34023801,1.702418537,0.667597157,1.122915802,2.034361982,1.568227265,0.073450621,2.444328872,0.324158222,14.91599925,0.258452466,0.856209274,2.00594802,2.040535746,4.662959539,0.961304276,38.56681262,2.050463912,2.971747589,2.154514153,2.561028779,0.001094092,1.995623632,-9.586250316,-4.413916933,-0.563711227,,,,,,,,,,
320,6,01/01/1970 0:14,0.382068519,0.224456055,0.171781945,0.611883739,0.02563214,6.9410268,0.276460523,31.79103761,-6.434883789,8.98458849,2.814360649,88.33390874,64.64680255,4.450468853,0.573829848,0.327992982,9.869657409,0.498309491,0.095823218,0.2237634,15.40873903,1.60592356,11.04530481,2.95763522,1.322497481,1.080114044,25.41153836,0.222696959,25.33457639,2.100050034,0.379263971,0.654930133,4.685085065,0,0,-18.95112345,-15.62149265,0.356931564,,,,,,,,,,
321,6,01/01/1970 0:15,4.004411797,1.043627371,3.005369154,0.444223739,0.03308269,2.363045914,0.069544418,12.88443567,-6.601544042,1.617855895,5.174764099,91.43186484,83.1464579,14.33352456,0.069912996,1.174292398,3.266407822,8.202406901,0.569943183,0.069982003,0.869467777,1.858971944,1.845236984,4.488305074,3.517270574,4.659590201,8.041618809,5.1777305,24.14609238,4.783536712,1.13872473,4.273850878,4.516970336,0.003282276,5.711159737,-16.25569856,-8.46673549,-1.921154037,,,,,,,,,,
322,6,01/01/1970 0:15,0.795613715,0.357707615,0.102771374,0.322758365,0.024970326,0.343101554,0.378623036,8.887183697,-1.75987545,0.298380915,5.209513736,97.97681828,68.94182464,9.512136166,0.11353718,0.297414451,5.85926372,2.132852774,0.043796731,0.034574007,0.141164784,12.84132541,3.07032968,3.606533642,9.004589732,0.432229731,6.431982601,2.998387773,19.76520552,0.446124786,0.170121221,1.943955611,1.42084939,0,0.27571116,-16.68791693,-11.81009044,0.408710839,,,,,,,,,,
323,6,01/01/1970 0:16,16.27751809,6.562544119,0.262692868,7.416615437,0.033865602,1.229429434,7.491636495,49.53421798,-7.235887235,0.724025657,21.22016,63.70115206,83.19533636,21.99927513,12.73705894,1.391616621,1.475044225,1.729138571,0.30501835,8.359455796,0.909322032,42.59358294,3.714856155,1.818751704,27.61232229,1.974804223,6.366284166,22.92084601,45.52545583,0.534452228,0.425411504,10.17394143,0.735357312,0.001109878,2.024417314,-13.08044684,9.691809015,-2.174888568,,,,,,,,,,
324,6,01/01/1970 0:16,0.659252012,0.243934294,0.067966483,0.27269513,40.83362605,0.079044442,0.348284816,58.61801045,46.53658726,3.773197254,2.028877742,52.16184819,96.19715953,2.527433929,0.649367707,8.603146031,1.240914118,0.005663515,0.253025182,5.078670267,0.149940288,6.620891723,0.333289128,0.712191718,0.950229796,34.57282066,2.573244932,1.077757741,28.59419443,2.855236111,50.3952308,13.52777812,3.697053489,0.001111111,2.026666667,-24.33386732,4.191939356,0.985467487,,,,,,,,,,
325,6,01/01/1970 0:17,6.299569299,1.87133245,0.202874395,0.785905275,0.025520748,0.797926467,0.250806387,12.27865654,-4.081425743,0.371333484,6.905465208,90.85388592,94.94707455,13.15875005,0.013942671,0.251564137,0.810163125,1.13566343,0.050546179,0.11828041,0.009161448,10.97197618,3.148132969,0.477938567,1.16042971,0.250058236,4.282538387,7.747992615,11.54660134,0.643454241,0.375550681,1.475822455,1.011557803,0.001111111,0.08,-22.31137185,4.078477961,-0.391630333,,,,,,,,,,
326,6,01/01/1970 0:17,0.51699147,2.685158855,0.760039533,0.296557018,1.832324504,0.709007621,0.259310046,25.75382431,0.348697013,4.951044582,1.159388356,90.8522606,85.97565286,0.741938166,0.635812724,3.032347577,26.25851171,7.036541707,0.635011577,0.298002691,0.547748922,10.59538947,7.632423738,15.59397293,0.246584905,11.14349678,23.72439185,1.308368877,28.89029741,2.213848145,7.429709832,6.902580862,5.648576939,0.005555556,10.84,-16.82306155,-9.800489561,2.312344104,,,,,,,,,,
327,6,01/01/1970 0:18,0.411954599,0.178107243,0.281790952,0.479068753,0.231269848,3.366769882,0.152162581,29.283381,0.778750264,5.630048974,1.901690899,93.43536093,74.49712295,2.440489009,0.558591996,0.62164599,5.987998229,1.155329264,0.055038584,0.291137151,8.15278677,0.947984176,5.654955957,1.461625478,0.149726236,1.572225793,8.186915291,0.266819365,35.7764154,1.299883017,5.336233344,0.538675527,4.843295941,0,1.24,-18.18890013,-15.4344543,-0.103156711,,,,,,,,,,
328,6,01/01/1970 0:18,1.801781264,0.358993487,0.163119433,3.781214554,0.024931289,0.527191727,4.963486464,24.33494012,-2.190748918,0.24749954,2.660120207,91.03715824,89.23904264,13.13550158,6.303362498,0.185485642,1.020488876,0.907961429,0.436806373,2.834375801,1.404593082,15.0610131,4.040070818,0.216519746,11.18528244,0.384758916,3.311903173,1.846646021,31.5910733,0.435023386,0.226983189,0.908326663,3.747546256,0.002222222,2.613333333,-19.30480769,-4.970753964,0.194195982,,,,,,,,,,
