,Respondent,Grade,Facial_Expressions,Value
334,18,85.0,Lip Stretch,0.5147525937299534
174,18,85.0,Brow Raise,2.724090881518281
14,18,85.0,Anger,0.38519845314175294
431,19,55.0,Upper Lip Raise,2.923414672859732
223,19,55.0,Dimpler,1.796654594104936
399,19,55.0,Smile,3.6076993711449763
15,19,55.0,Anger,1.3640349279152293
31,19,55.0,Contempt,1.0792909711359573
47,19,55.0,Disgust,0.3205594731080873
63,19,55.0,Fear,1.2458748455596156
79,19,55.0,Joy,2.2065068705545157
95,19,55.0,Sadness,1.0705560028711731
111,19,55.0,Surprise,0.4706430740528566
127,19,55.0,Sentimentality,1.0428051328446724
143,19,55.0,Confusion,2.1524545215108857
159,19,55.0,Brow Furrow,8.257977473823171
175,19,55.0,Brow Raise,1.047577281723785
191,19,55.0,Cheek Raise,1.7451954788374415
207,19,55.0,Chin Raise,1.1956910196575012
239,19,55.0,Eye Closure,4.498295032070042
255,19,55.0,Eye Widen,8.466822849541616
271,19,55.0,Inner Brow Raise,3.828665341648225
287,19,55.0,Lip Corner Depressor,0.5937542708211387
303,19,55.0,Lip Press,1.4487254325194256
319,19,55.0,Lip Pucker,0.6370941495927518
335,19,55.0,Lip Stretch,1.0745409503161034
351,19,55.0,Lip Suck,1.233866388669778
367,19,55.0,Lid Tighten,2.0282785512685666
383,19,55.0,Nose Wrinkle,1.1632328910753869
415,19,55.0,Smirk,2.564635968669974
447,19,55.0,Blink,0.006978551014179084
